data_set_uuid;data_set_id;investigation_id;study_id;assay_id;node_id;file_uuid;type;subtype;value;value_source;value_accession
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;17;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;19;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;19;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;19;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;19;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;21;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;21;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;21;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;21;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;23;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;23;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;23;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;23;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;25;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;25;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;25;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;25;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;31;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;31;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;31;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;31;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;33;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;33;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;33;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;33;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;35;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;35;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;35;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;35;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;37;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;37;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;37;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;37;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;51;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;41;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;41;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;41;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;41;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;45;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;45;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;45;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;45;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;47;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;47;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;47;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;47;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;49;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;49;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;49;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;49;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;51;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;51;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;51;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;53;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;53;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;53;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;53;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;55;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;55;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;55;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;55;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;57;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;57;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;57;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;57;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;59;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;59;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;59;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;59;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;61;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;61;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;61;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;61;;Source Name;cell type;Fibroblast;CL;57
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;63;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;63;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;63;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;65;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;65;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;65;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;67;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;67;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;67;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;69;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;69;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;69;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;71;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;71;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;71;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;77;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;77;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;77;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;81;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;81;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;81;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;87;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;87;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;87;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;89;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;89;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;89;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;91;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;91;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;91;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;95;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;95;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;95;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;95;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;97;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;97;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;97;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;97;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;99;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;99;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;99;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;99;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;101;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;101;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;101;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;101;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;103;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;103;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;103;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;103;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;105;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;105;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;105;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;105;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;107;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;107;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;107;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;107;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;109;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;109;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;109;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;109;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;117;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;117;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;117;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;117;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;119;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;119;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;119;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;119;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;121;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;121;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;121;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;121;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;123;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;123;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;123;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;123;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;127;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;127;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;127;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;127;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;129;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;129;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;129;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;129;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;131;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;131;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;131;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;131;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;133;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;133;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;133;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;133;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;135;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;135;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;135;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;135;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;137;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;137;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;137;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;137;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;141;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;141;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;141;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;141;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;145;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;145;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;145;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;145;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;147;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;147;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;147;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;147;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;149;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;149;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;149;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;149;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
a86d21be-10b8-4d97-a854-2f28158fe354;2;3;4;;382;;Sample Name;cell type;Long-term hematopoietic stem cell (LT-HSC);CL;http://purl.obolibrary.org/obo/CL_0002034
a86d21be-10b8-4d97-a854-2f28158fe354;2;3;4;;388;;Sample Name;cell type;Long-term hematopoietic stem cell (LT-HSC);CL;http://purl.obolibrary.org/obo/CL_0002034
a86d21be-10b8-4d97-a854-2f28158fe354;2;3;4;;382;;Sample Name;age;22-24;UO;http://purl.obolibrary.org/obo/UO_0000035
a86d21be-10b8-4d97-a854-2f28158fe354;2;3;4;;388;;Sample Name;age;2-3;UO;http://purl.obolibrary.org/obo/UO_0000035
